Term Code,Term Desc,Subj Code,Crse Numb,Seq Numb,Course,Crn,Course Title,Course Title - Xlst,Ptrm Start Date,Ptrm End Date,Coll Code,Coll Desc,Dept Code,Dept Desc,Camp Code,Camp Desc,Ssts Code,Credit Hrs,Sess Desc,Schd Code,Schd Desc,Bldg Code,Room Code,Begin Time,End Time,Day,CRN Count,Unique CRN,Seats Avail,Max Enrl,Enrl,Primary Instructor,Instructor,Primary Instr Fctg Desc,All Instructors
201515,Fall Quarter 15-16,DIGM,100,007,DIGM 100 007,12585,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,U,Studio,URBN,247,1830,2120,T,649,1,0,18,18,"Reed, Ryan (Primary Instr)","Reed, Ryan",,"Reed, Ryan"
201515,Fall Quarter 15-16,DIGM,100,008,DIGM 100 008,16720,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,U,Studio,URBN,247,1800,2050,W,649,1,0,17,17,"Fernandez, Christopher (Primary Instr)","Fernandez, Christopher",Adjunct Instructor,"Fernandez, Christopher"
201515,Fall Quarter 15-16,DIGM,100,009,DIGM 100 009,13621,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,U,Studio,URBN,247,0900,1150,M,649,1,0,17,17,"Oum, Kenneth (Primary Instr)","Oum, Kenneth",Adjunct Instructor,"Oum, Kenneth"
201515,Fall Quarter 15-16,DIGM,105,003,DIGM 105 003,12743,Overview of Digital Media,Overview of Digital Media,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,ANNEX 110,1530,1820,R,649,1,-1,39,40,"Muschio, Glen (Primary Instr)","Muschio, Glen",Assistant Professor,"Muschio, Glen"
201515,Fall Quarter 15-16,DIGM,105,004,DIGM 105 004,16502,Overview of Digital Media,Overview of Digital Media,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,141,1500,1750,M,649,1,1,40,39,"Muschio, Glen (Primary Instr)","Muschio, Glen",Assistant Professor,"Muschio, Glen"
201515,Fall Quarter 15-16,DIGM,220,001,DIGM 220 001,16056,Digital Still Imaging I,Digital Still Imaging I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,252,1500,1750,W,649,1,1,18,17,"Yanoviak, Kenneth (Primary Instr)","Yanoviak, Kenneth",Associate Professor,"Yanoviak, Kenneth"
201515,Fall Quarter 15-16,DIGM,223,001,DIGM 223 001,12647,Creative Concept Design,Creative Concept Design,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,1200,1450,M,649,1,0,18,18,"Artz, Theo (Primary Instr)","Artz, Theo",Assistant Professor,"Artz, Theo"
201515,Fall Quarter 15-16,DIGM,223,002,DIGM 223 002,12648,Creative Concept Design,Creative Concept Design,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,1500,1750,M,649,1,0,17,17,"Zatz, Diane (Primary Instr)","Zatz, Diane",Adjunct Associate Professor,"Zatz, Diane"
201515,Fall Quarter 15-16,DIGM,223,003,DIGM 223 003,12649,Creative Concept Design,Creative Concept Design,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,L,Lecture,URBN,248,1800,2050,M,649,1,-2,17,19,"Artz, Theo (Primary Instr)","Artz, Theo",Assistant Professor,"Artz, Theo"
201515,Fall Quarter 15-16,DIGM,223,004,DIGM 223 004,14266,Creative Concept Design,Creative Concept Design,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,L,Lecture,URBN,248,1830,2120,T,649,1,1,17,16,"Artz, Theo (Primary Instr)","Artz, Theo",Assistant Professor,"Artz, Theo"
